raceId,year,round,circuitId,name,date,time,url,driverId,grid,position,datetime,ls_driver_points,ls_constructor_points,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5
293,1992.0,5.0,21.0,San Marino Grand Prix,1992-05-17,\N,http://en.wikipedia.org/wiki/1992_San_Marino_Grand_Prix,119.0,2.0,2,1992-05-17,53.0,125.0,1.0,2.0,2.0,5.0,3.0,1.0
294,1992.0,6.0,6.0,Monaco Grand Prix,1992-05-31,\N,http://en.wikipedia.org/wiki/1992_Monaco_Grand_Prix,102.0,3.0,1,1992-05-31,96.0,139.0,1.0,3.0,9.0,2.0,2.0,1.0
294,1992.0,6.0,6.0,Monaco Grand Prix,1992-05-31,\N,http://en.wikipedia.org/wiki/1992_Monaco_Grand_Prix,95.0,1.0,2,1992-05-31,72.0,125.0,2.0,1.0,1.0,1.0,2.0,1.0
294,1992.0,6.0,6.0,Monaco Grand Prix,1992-05-31,\N,http://en.wikipedia.org/wiki/1992_Monaco_Grand_Prix,123.0,22.0,4,1992-05-31,0.0,0.0,7.0,10.0,9.0,17.0,9.0,8.0
295,1992.0,7.0,7.0,Canadian Grand Prix,1992-06-14,\N,http://en.wikipedia.org/wiki/1992_Canadian_Grand_Prix,77.0,4.0,1,1992-06-14,43.0,139.0,4.0,4.0,3.0,4.0,2.0,4.0
295,1992.0,7.0,7.0,Canadian Grand Prix,1992-06-14,\N,http://en.wikipedia.org/wiki/1992_Canadian_Grand_Prix,94.0,15.0,3,1992-06-14,6.0,6.0,7.0,6.0,6.0,4.0,12.0,9.0
296,1992.0,8.0,8.0,French Grand Prix,1992-07-05,\N,http://en.wikipedia.org/wiki/1992_French_Grand_Prix,95.0,1.0,1,1992-07-05,72.0,125.0,1.0,2.0,1.0,1.0,1.0,2.0
296,1992.0,8.0,8.0,French Grand Prix,1992-07-05,\N,http://en.wikipedia.org/wiki/1992_French_Grand_Prix,119.0,2.0,2,1992-07-05,53.0,125.0,5.0,2.0,2.0,2.0,5.0,3.0
296,1992.0,8.0,8.0,French Grand Prix,1992-07-05,\N,http://en.wikipedia.org/wiki/1992_French_Grand_Prix,94.0,25.0,3,1992-07-05,6.0,6.0,9.0,8.0,6.0,6.0,4.0,12.0
297,1992.0,9.0,9.0,British Grand Prix,1992-07-12,\N,http://en.wikipedia.org/wiki/1992_British_Grand_Prix,94.0,22.0,4,1992-07-12,6.0,6.0,9.0,10.0,8.0,6.0,6.0,4.0
297,1992.0,9.0,9.0,British Grand Prix,1992-07-12,\N,http://en.wikipedia.org/wiki/1992_British_Grand_Prix,95.0,1.0,1,1992-07-12,72.0,125.0,1.0,1.0,2.0,1.0,1.0,1.0
297,1992.0,9.0,9.0,British Grand Prix,1992-07-12,\N,http://en.wikipedia.org/wiki/1992_British_Grand_Prix,77.0,5.0,3,1992-07-12,43.0,139.0,2.0,1.0,4.0,3.0,4.0,2.0
