grid,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5,ls_constructor_points,ls_driver_points,position
1.0,5.0,1.0,1.0,3.0,3.0,4.0,10.0,5.0,3
13.0,5.0,3.0,3.0,4.0,2.0,4.0,91.0,38.0,3
8.0,1.0,1.0,2.0,1.0,2.0,3.0,99.0,50.0,4
16.0,12.0,10.0,9.0,8.0,10.0,12.0,6.0,0.0,4
3.0,2.0,3.0,3.0,7.0,3.0,2.0,91.0,53.0,2
5.0,1.0,14.0,6.0,6.0,1.0,2.0,99.0,49.0,3
1.0,5.0,4.0,1.0,1.0,3.0,3.0,10.0,5.0,1
24.0,10.0,5.0,8.0,7.0,10.0,12.0,6.0,2.0,4
11.0,9.0,4.0,13.0,9.0,11.0,3.0,2.0,0.0,3
25.0,6.0,9.0,6.0,8.0,8.0,5.0,8.0,8.0,4
9.0,5.0,8.0,5.0,6.0,10.0,9.0,6.0,4.0,4
20.0,12.0,12.0,5.0,8.0,7.0,10.0,6.0,2.0,4
12.0,2.0,4.0,1.0,5.0,3.0,8.0,164.0,56.0,3
3.0,3.0,6.0,3.0,3.0,4.0,2.0,91.0,38.0,3
5.0,3.0,18.0,1.0,2.0,1.0,2.0,99.0,50.0,3
2.0,2.0,1.0,4.0,1.0,1.0,3.0,10.0,5.0,1
1.0,3.0,1.0,1.0,4.0,1.0,1.0,10.0,5.0,1
5.0,2.0,10.0,4.0,1.0,5.0,3.0,164.0,56.0,2
3.0,4.0,2.0,3.0,3.0,7.0,3.0,91.0,53.0,2
4.0,4.0,4.0,18.0,1.0,2.0,1.0,99.0,50.0,3
6.0,3.0,5.0,6.0,3.0,3.0,4.0,91.0,38.0,4
12.0,8.0,3.0,8.0,4.0,5.0,3.0,21.0,18.0,3
16.0,13.0,7.0,4.0,13.0,9.0,11.0,2.0,0.0,3
26.0,9.0,11.0,6.0,7.0,7.0,13.0,6.0,6.0,4
24.0,7.0,11.0,12.0,5.0,8.0,7.0,6.0,2.0,4
6.0,4.0,14.0,5.0,6.0,3.0,3.0,91.0,38.0,3
10.0,5.0,9.0,3.0,8.0,4.0,5.0,21.0,18.0,3
9.0,4.0,4.0,14.0,6.0,6.0,1.0,99.0,49.0,3
7.0,8.0,3.0,10.0,4.0,1.0,5.0,164.0,56.0,3
4.0,2.0,5.0,4.0,18.0,1.0,2.0,99.0,50.0,3
3.0,3.0,2.0,2.0,3.0,3.0,7.0,91.0,53.0,2
1.0,4.0,1.0,1.0,1.0,4.0,1.0,10.0,5.0,1
22.0,11.0,10.0,15.0,10.0,8.0,6.0,2.0,2.0,4
5.0,3.0,5.0,3.0,10.0,4.0,1.0,164.0,56.0,2
13.0,5.0,8.0,14.0,5.0,6.0,3.0,91.0,38.0,3
6.0,3.0,6.0,4.0,14.0,6.0,6.0,99.0,49.0,2
24.0,17.0,13.0,11.0,12.0,5.0,8.0,6.0,2.0,3
22.0,8.0,15.0,9.0,6.0,8.0,8.0,8.0,8.0,4
25.0,13.0,16.0,11.0,6.0,7.0,7.0,6.0,6.0,4
3.0,1.0,2.0,2.0,2.0,3.0,3.0,91.0,53.0,2
1.0,2.0,1.0,1.0,1.0,1.0,4.0,10.0,5.0,2
5.0,5.0,4.0,5.0,4.0,18.0,1.0,99.0,50.0,3
10.0,13.0,4.0,13.0,13.0,6.0,7.0,13.0,2.0,3
8.0,3.0,2.0,5.0,3.0,10.0,4.0,164.0,56.0,3
11.0,4.0,5.0,8.0,14.0,5.0,6.0,91.0,38.0,3
16.0,2.0,3.0,6.0,4.0,14.0,6.0,99.0,49.0,3
9.0,7.0,8.0,7.0,4.0,13.0,9.0,2.0,0.0,3
18.0,6.0,11.0,15.0,9.0,6.0,8.0,8.0,8.0,4
1.0,3.0,3.0,1.0,1.0,1.0,1.0,10.0,5.0,4
10.0,5.0,6.0,2.0,5.0,3.0,10.0,164.0,56.0,3
22.0,8.0,14.0,10.0,15.0,10.0,8.0,2.0,2.0,3
20.0,11.0,16.0,8.0,5.0,6.0,10.0,6.0,4.0,3
7.0,1.0,5.0,6.0,2.0,5.0,3.0,164.0,56.0,4
17.0,9.0,13.0,11.0,15.0,9.0,6.0,8.0,8.0,4
2.0,3.0,12.0,3.0,1.0,1.0,1.0,10.0,5.0,2
5.0,3.0,7.0,9.0,3.0,8.0,4.0,21.0,18.0,3
11.0,4.0,7.0,5.0,8.0,14.0,5.0,91.0,38.0,3
6.0,7.0,2.0,2.0,2.0,2.0,3.0,91.0,53.0,1
19.0,4.0,7.0,14.0,10.0,15.0,10.0,2.0,2.0,3
22.0,11.0,6.0,16.0,8.0,5.0,6.0,6.0,4.0,4
22.0,10.0,8.0,7.0,14.0,10.0,15.0,2.0,2.0,3
2.0,2.0,4.0,4.0,5.0,4.0,18.0,99.0,50.0,1
1.0,4.0,2.0,12.0,3.0,1.0,1.0,10.0,5.0,2
11.0,9.0,9.0,8.0,7.0,4.0,13.0,2.0,0.0,3
15.0,3.0,6.0,7.0,5.0,8.0,14.0,91.0,38.0,3
15.0,8.0,12.0,13.0,11.0,15.0,9.0,8.0,8.0,4
21.0,18.0,11.0,6.0,16.0,8.0,5.0,6.0,4.0,4
9.0,5.0,16.0,5.0,6.0,2.0,5.0,164.0,56.0,3
10.0,8.0,13.0,10.0,9.0,8.0,10.0,6.0,0.0,3
8.0,3.0,9.0,6.0,7.0,5.0,8.0,91.0,38.0,3
6.0,1.0,10.0,3.0,6.0,4.0,14.0,99.0,49.0,3
